family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
C	RTL8367C_TX_ERR_CNT_PORT2_MASK		MASK	0x7	7	316
C	RTL8367C_REG_PKTGEN_PORT2_DA0		REGISTER	0x0043	67	318
C	RTL8367C_REG_PKTGEN_PORT2_DA1		REGISTER	0x0044	68	320
C	RTL8367C_REG_PKTGEN_PORT2_DA2		REGISTER	0x0045	69	322
C	RTL8367C_REG_PKTGEN_PORT2_SA0		REGISTER	0x0046	70	324
C	RTL8367C_REG_PKTGEN_PORT2_SA1		REGISTER	0x0047	71	326
C	RTL8367C_REG_PKTGEN_PORT2_SA2		REGISTER	0x0048	72	328
C	RTL8367C_REG_PKTGEN_PORT2_COUNTER0		REGISTER	0x0049	73	330
C	RTL8367C_REG_PKTGEN_PORT2_COUNTER1		REGISTER	0x004a	74	332
C	RTL8367C_PKTGEN_PORT2_COUNTER1_OFFSET		OFFSET_SHIFT	0	0	333
C	RTL8367C_PKTGEN_PORT2_COUNTER1_MASK		MASK	0xFF	255	334
C	RTL8367C_REG_PKTGEN_PORT2_TX_LENGTH		REGISTER	0x004b	75	336
C	RTL8367C_PKTGEN_PORT2_TX_LENGTH_OFFSET		OFFSET_SHIFT	0	0	337
C	RTL8367C_PKTGEN_PORT2_TX_LENGTH_MASK		MASK	0x3FFF	16383	338
C	RTL8367C_REG_PKTGEN_PORT2_TIMER		REGISTER	0x004d	77	340
C	RTL8367C_PKTGEN_PORT2_TIMER_TIMER_OFFSET		OFFSET_SHIFT	4	4	341
C	RTL8367C_PKTGEN_PORT2_TIMER_TIMER_MASK		MASK	0xF0	240	342
C	RTL8367C_PKTGEN_PORT2_TIMER_RX_DMA_ERR_FLAG_OFFSET		OFFSET_SHIFT	3	3	343
C	RTL8367C_PKTGEN_PORT2_TIMER_RX_DMA_ERR_FLAG_MASK		MASK	0x8	8	344
C	RTL8367C_REG_PORT2_MISC_CFG		REGISTER	0x004e	78	346
C	RTL8367C_PORT2_MISC_CFG_SMALL_TAG_IPG_OFFSET		OFFSET_SHIFT	15	15	347
C	RTL8367C_PORT2_MISC_CFG_SMALL_TAG_IPG_MASK		MASK	0x8000	32768	348
C	RTL8367C_PORT2_MISC_CFG_TX_ITFSP_MODE_OFFSET		OFFSET_SHIFT	14	14	349
C	RTL8367C_PORT2_MISC_CFG_TX_ITFSP_MODE_MASK		MASK	0x4000	16384	350
